"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
319536133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1632198,NA,17524070,13579996,19176669,276286564,280948682.5,294299670
319536134,NA,NA,177936.5,NA,NA,NA,NA,NA,NA,544614,468215,381558,4419984,8077087,2397394,27201548,76454501,23114852
319536135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17621508,20920598,15766296,218538569.5,240429410.5,217579793.5
319536137,NA,NA,NA,NA,NA,NA,NA,NA,NA,5410470,2123414,NA,31177938,59246385,30998508,538719482,576247422,643044759
319536152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7111800,7294316,8424176,133803750,118703364,86755473
319536155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1654643,NA,22499537.5,19552890,13127926,220420183,278679280,184515657
320080557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15751592,11638580,14626533,254132795,214180586,199597886
320416263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3336179,4231609,4233804
320417254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6968565,13341406,4646128,112572885,145023526,144679177
320417590,NA,NA,NA,NA,NA,994095.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,971792,1654802,1042608.5
320417973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1504898,5493076,1400589,52910816,61667333,63391167
323347626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6252804,7398901,4380302,89293836,87625030.5,106367310
323350517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5558621,9149569,5407074
323351043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423354,NA,NA,8422674,9677945,7782052
323459478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5061968,7408010,NA
323459705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329082.5,NA,391088.5,3563616,2119398
323461784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863771,1084537,NA
335792437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874351,5836906,3278917
335805659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
